                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
88,0.94807,1.0009,1.3596,0.73629,0.73428,0.70681,0.52608,0.87784,1.1443,1.4077,0.0001982,0.0001982,0.0001982
89,0.95289,0.96718,1.3249,0.68078,0.7183,0.71787,0.5383,0.86414,1.1211,1.3947,0.00018406,0.00018406,0.00018406
90,0.92259,0.94857,1.3418,0.74651,0.72,0.72617,0.52245,0.89651,1.1097,1.3938,0.00016991,0.00016991,0.00016991
91,0.89847,1.049,1.3479,0.69873,0.69273,0.71155,0.51871,0.93426,1.1492,1.4245,0.00015576,0.00015576,0.00015576
92,0.8817,0.99316,1.3192,0.71192,0.71072,0.73059,0.54313,0.87485,1.0918,1.3792,0.00014161,0.00014161,0.00014161
93,0.83604,0.91436,1.2762,0.84139,0.6562,0.74211,0.55354,0.83945,1.0422,1.3461,0.00012747,0.00012747,0.00012747
94,0.85599,0.97194,1.2953,0.71471,0.70629,0.724,0.54045,0.82508,1.0339,1.3322,0.00011332,0.00011332,0.00011332
95,0.8367,0.90862,1.286,0.70133,0.74548,0.72088,0.54922,0.82441,1.035,1.3367,9.92E-05,9.92E-05,9.92E-05
96,0.84195,0.94541,1.3212,0.69168,0.75584,0.71961,0.54942,0.8318,1.0281,1.3421,8.50E-05,8.50E-05,8.50E-05
97,0.86361,0.96117,1.3284,0.71106,0.74695,0.72988,0.55304,0.84237,1.0454,1.352,7.09E-05,7.09E-05,7.09E-05
98,0.82914,0.92253,1.2896,0.78725,0.72525,0.7468,0.56085,0.82679,1.0381,1.3444,5.67E-05,5.67E-05,5.67E-05
99,0.82056,0.89471,1.2636,0.80367,0.7151,0.76293,0.57294,0.81793,1.0222,1.3353,4.26E-05,4.26E-05,4.26E-05
100,0.80803,0.87302,1.2768,0.77406,0.73586,0.755,0.57144,0.81031,1.0121,1.3257,2.84E-05,2.84E-05,2.84E-05
